2015-06-01 21:25:49 [Thread-112] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 8305  - URLFetcher£ºstart to fetch this url : http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getPostListByConditionBaidu?pc.currentPage=17&pc.rowSize=10&releaseTime=0&keyWord=&positionType=0%2F1227%2F10002&trademark=1&workPlaceCode=&positionName=&recruitType=2&brandCode=1&searchType=1&workPlaceNameV=&positionTypeV=0%2F1227%2F10002&keyWordV=
2015-06-01 21:25:49 [Thread-112] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 8305  - URLFetcher£ºstart to fetch this url : http://hr.tencent.com/position.php?keywords=&tid=87&start=160#a
2015-06-01 21:25:49 [pool-2-thread-74] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8644  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-1-thread-3] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8660  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-1-thread-3] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 8689  - URLFetcher£ºthe url: http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getPostListByConditionBaidu?pc.currentPage=17&pc.rowSize=10&releaseTime=0&keyWord=&positionType=0%2F1227%2F10002&trademark=1&workPlaceCode=&positionName=&recruitType=2&brandCode=1&searchType=1&workPlaceNameV=&positionTypeV=0%2F1227%2F10002&keyWordV= is fetched done.
2015-06-01 21:25:49 [pool-1-thread-3] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 8689  - the caculator is : 1
2015-06-01 21:25:49 [pool-1-thread-3] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 8689  - the counter number is : 2
2015-06-01 21:25:49 [pool-2-thread-76] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8691  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-50] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8691  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-1-thread-4] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8692  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-79] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8693  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-73] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8698  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-84] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8703  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-75] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8703  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-85] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8706  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-90] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8709  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-80] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8723  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-18] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8804  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-82] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8815  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-86] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8817  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-54] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8818  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-49] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8830  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-34] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8859  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-64] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8859  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-30] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8866  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-81] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8866  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-2-thread-69] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 8872  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:49 [pool-1-thread-4] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 8885  - URLFetcher£ºthe url: http://hr.tencent.com/position.php?keywords=&tid=87&start=160#a is fetched done.
2015-06-01 21:25:49 [pool-1-thread-4] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 8886  - the caculator is : 0
2015-06-01 21:25:49 [pool-1-thread-4] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 8886  - the counter number is : 1
2015-06-01 21:25:49 [Thread-112] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 8902  - URLFetcher£ºstart to fetch this url : http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getPostListByConditionBaidu?pc.currentPage=18&pc.rowSize=10&releaseTime=0&keyWord=&positionType=0%2F1227%2F10002&trademark=1&workPlaceCode=&positionName=&recruitType=2&brandCode=1&searchType=1&workPlaceNameV=&positionTypeV=0%2F1227%2F10002&keyWordV=
2015-06-01 21:25:49 [Thread-112] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 8902  - URLFetcher£ºstart to fetch this url : http://hr.tencent.com/position.php?keywords=&tid=87&start=170#a
2015-06-01 21:25:50 [pool-1-thread-6] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9068  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-60] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9085  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-71] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9089  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-1-thread-6] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9089  - URLFetcher£ºthe url: http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getPostListByConditionBaidu?pc.currentPage=18&pc.rowSize=10&releaseTime=0&keyWord=&positionType=0%2F1227%2F10002&trademark=1&workPlaceCode=&positionName=&recruitType=2&brandCode=1&searchType=1&workPlaceNameV=&positionTypeV=0%2F1227%2F10002&keyWordV= is fetched done.
2015-06-01 21:25:50 [pool-1-thread-6] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9089  - the caculator is : 1
2015-06-01 21:25:50 [pool-1-thread-6] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9090  - the counter number is : 2
2015-06-01 21:25:50 [pool-2-thread-54] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9101  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-1-thread-5] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9114  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-49] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9115  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-34] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9116  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-99] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9115  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-70] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9115  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-17] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9116  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-52] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9116  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-98] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9121  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-55] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9235  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-16] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9236  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-56] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9237  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-62] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9261  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-48] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9266  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-63] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9270  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-1-thread-5] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9274  - URLFetcher£ºthe url: http://hr.tencent.com/position.php?keywords=&tid=87&start=170#a is fetched done.
2015-06-01 21:25:50 [pool-1-thread-5] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9274  - the caculator is : 0
2015-06-01 21:25:50 [pool-1-thread-5] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9275  - the counter number is : 1
2015-06-01 21:25:50 [pool-2-thread-61] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9275  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-47] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9282  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-2] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9283  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-29] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9287  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [Thread-112] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9336  - URLFetcher£ºstart to fetch this url : http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getPostListByConditionBaidu?pc.currentPage=19&pc.rowSize=10&releaseTime=0&keyWord=&positionType=0%2F1227%2F10002&trademark=1&workPlaceCode=&positionName=&recruitType=2&brandCode=1&searchType=1&workPlaceNameV=&positionTypeV=0%2F1227%2F10002&keyWordV=
2015-06-01 21:25:50 [Thread-112] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9336  - URLFetcher£ºstart to fetch this url : http://hr.tencent.com/position.php?keywords=&tid=87&start=180#a
2015-06-01 21:25:50 [pool-2-thread-2] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9470  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-34] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9475  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-17] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9475  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-1-thread-8] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9527  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-8] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9528  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-20] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9528  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-91] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9528  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-88] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9529  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-14] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9529  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-77] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9530  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-1-thread-7] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9530  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-1-thread-8] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9555  - URLFetcher£ºthe url: http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getPostListByConditionBaidu?pc.currentPage=19&pc.rowSize=10&releaseTime=0&keyWord=&positionType=0%2F1227%2F10002&trademark=1&workPlaceCode=&positionName=&recruitType=2&brandCode=1&searchType=1&workPlaceNameV=&positionTypeV=0%2F1227%2F10002&keyWordV= is fetched done.
2015-06-01 21:25:50 [pool-1-thread-8] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9555  - the caculator is : 1
2015-06-01 21:25:50 [pool-1-thread-8] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9555  - the counter number is : 2
2015-06-01 21:25:50 [pool-2-thread-52] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9562  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-78] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9666  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-37] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9677  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-1-thread-7] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9699  - URLFetcher£ºthe url: http://hr.tencent.com/position.php?keywords=&tid=87&start=180#a is fetched done.
2015-06-01 21:25:50 [pool-1-thread-7] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9699  - the caculator is : 0
2015-06-01 21:25:50 [pool-1-thread-7] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9699  - the counter number is : 1
2015-06-01 21:25:50 [Thread-112] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 9701  - URLFetcher£ºstart to fetch this url : http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getPostListByConditionBaidu?pc.currentPage=20&pc.rowSize=10&releaseTime=0&keyWord=&positionType=0%2F1227%2F10002&trademark=1&workPlaceCode=&positionName=&recruitType=2&brandCode=1&searchType=1&workPlaceNameV=&positionTypeV=0%2F1227%2F10002&keyWordV=
2015-06-01 21:25:50 [pool-2-thread-10] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9713  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:50 [pool-2-thread-42] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 9709  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
